latitude,longitude,acq_datetime,frp,satellite,confidence,daynight,source,weight
34.1507,-79.5608,2026-07-31T06:45:00Z,0.98,N,n,N,VIIRS_SNPP_NRT,1
37.2326,-82.0376,2026-07-31T06:45:00Z,1.6,N,n,N,VIIRS_SNPP_NRT,1
37.3942,-81.5059,2026-07-31T06:45:00Z,0.61,N,n,N,VIIRS_SNPP_NRT,1
40.0704,-74.7692,2026-07-31T06:44:00Z,0.45,N,n,N,VIIRS_SNPP_NRT,1
39.4737,-84.4022,2026-07-31T06:44:00Z,1.3,N,n,N,VIIRS_SNPP_NRT,1
40.0717,-74.7692,2026-07-31T06:44:00Z,0.59,N,n,N,VIIRS_SNPP_NRT,1
39.9397,-76.8143,2026-07-31T06:44:00Z,1.67,N,n,N,VIIRS_SNPP_NRT,1
39.7309,-82.1501,2026-07-31T06:44:00Z,0.82,N,n,N,VIIRS_SNPP_NRT,1
39.57,-83.4771,2026-07-31T06:44:00Z,0.88,N,n,N,VIIRS_SNPP_NRT,1
39.4852,-84.3638,2026-07-31T06:44:00Z,1.33,N,n,N,VIIRS_SNPP_NRT,1
39.4824,-84.378,2026-07-31T06:44:00Z,1.31,N,n,N,VIIRS_SNPP_NRT,1
39.4707,-84.4038,2026-07-31T06:44:00Z,1.54,N,n,N,VIIRS_SNPP_NRT,1
40.0887,-83.5349,2026-07-31T06:44:00Z,0.43,N,n,N,VIIRS_SNPP_NRT,1
39.4701,-84.385,2026-07-31T06:44:00Z,1.72,N,n,N,VIIRS_SNPP_NRT,1
39.3352,-81.3638,2026-07-31T06:44:00Z,0.92,N,n,N,VIIRS_SNPP_NRT,1
39.3039,-81.5706,2026-07-31T06:44:00Z,0.52,N,n,N,VIIRS_SNPP_NRT,1
38.7775,-79.3934,2026-07-31T06:44:00Z,1.15,N,n,N,VIIRS_SNPP_NRT,1
38.7579,-84.9982,2026-07-31T06:44:00Z,2.85,N,n,N,VIIRS_SNPP_NRT,1
38.379,-82.5966,2026-07-31T06:44:00Z,0.78,N,n,N,VIIRS_SNPP_NRT,1
40.0827,-83.5355,2026-07-31T06:44:00Z,0.4,N,n,N,VIIRS_SNPP_NRT,1
40.0875,-83.5341,2026-07-31T06:44:00Z,1.01,N,n,N,VIIRS_SNPP_NRT,1
40.4635,-86.1627,2026-07-31T06:44:00Z,0.51,N,n,N,VIIRS_SNPP_NRT,1
40.3952,-79.8582,2026-07-31T06:44:00Z,9.88,N,n,N,VIIRS_SNPP_NRT,1
40.8905,-77.7086,2026-07-31T06:44:00Z,0.56,N,n,N,VIIRS_SNPP_NRT,1
40.7586,-81.4339,2026-07-31T06:44:00Z,0.57,N,n,N,VIIRS_SNPP_NRT,1
40.7534,-81.4388,2026-07-31T06:44:00Z,1.5,N,n,N,VIIRS_SNPP_NRT,1
40.7198,-84.1222,2026-07-31T06:44:00Z,1.86,N,n,N,VIIRS_SNPP_NRT,1
40.5718,-83.1415,2026-07-31T06:44:00Z,0.65,N,n,N,VIIRS_SNPP_NRT,1
40.2379,-74.1202,2026-07-31T06:44:00Z,0.58,N,n,N,VIIRS_SNPP_NRT,1
40.3946,-79.8508,2026-07-31T06:44:00Z,4.2,N,n,N,VIIRS_SNPP_NRT,1
40.3902,-79.8588,2026-07-31T06:44:00Z,2.15,N,n,N,VIIRS_SNPP_NRT,1
40.3135,-80.609,2026-07-31T06:44:00Z,1.34,N,n,N,VIIRS_SNPP_NRT,1
40.3133,-80.605,2026-07-31T06:44:00Z,1.34,N,n,N,VIIRS_SNPP_NRT,1
40.3084,-80.6096,2026-07-31T06:44:00Z,1.34,N,n,N,VIIRS_SNPP_NRT,1
40.3062,-79.8762,2026-07-31T06:44:00Z,1.01,N,n,N,VIIRS_SNPP_NRT,1
41.2258,-83.2088,2026-07-31T06:44:00Z,2.47,N,n,N,VIIRS_SNPP_NRT,1
43.2322,-75.5512,2026-07-31T06:43:00Z,0.51,N,n,N,VIIRS_SNPP_NRT,1
43.2721,-79.7975,2026-07-31T06:43:00Z,1.74,N,n,N,VIIRS_SNPP_NRT,1
43.2788,-79.8254,2026-07-31T06:43:00Z,2.46,N,n,N,VIIRS_SNPP_NRT,1
43.2223,-77.1127,2026-07-31T06:43:00Z,1.41,N,n,N,VIIRS_SNPP_NRT,1
43.2723,-79.8015,2026-07-31T06:43:00Z,2.15,N,n,N,VIIRS_SNPP_NRT,1
40.6368,-74.2246,2026-07-31T06:43:00Z,1.5,N,n,N,VIIRS_SNPP_NRT,1
43.2928,-79.9864,2026-07-31T06:43:00Z,1.47,N,n,N,VIIRS_SNPP_NRT,1
40.7166,-75.3985,2026-07-31T06:43:00Z,0.89,N,n,N,VIIRS_SNPP_NRT,1
44.0529,-77.121,2026-07-31T06:43:00Z,1.56,N,n,N,VIIRS_SNPP_NRT,1
43.0721,-80.8575,2026-07-31T06:43:00Z,0.81,N,n,N,VIIRS_SNPP_NRT,1
43.0821,-77.384,2026-07-31T06:43:00Z,0.86,N,n,N,VIIRS_SNPP_NRT,1
43.4931,-79.6264,2026-07-31T06:43:00Z,0.48,N,n,N,VIIRS_SNPP_NRT,1
43.0667,-80.8581,2026-07-31T06:43:00Z,0.7,N,n,N,VIIRS_SNPP_NRT,1
41.5667,-84.0457,2026-07-31T06:43:00Z,6.36,N,n,N,VIIRS_SNPP_NRT,1
41.475,-81.6682,2026-07-31T06:43:00Z,0.65,N,n,N,VIIRS_SNPP_NRT,1
41.4653,-81.6744,2026-07-31T06:43:00Z,1.12,N,n,N,VIIRS_SNPP_NRT,1
41.4641,-81.674,2026-07-31T06:43:00Z,1.58,N,n,N,VIIRS_SNPP_NRT,1
41.46,-81.6796,2026-07-31T06:43:00Z,1.12,N,n,N,VIIRS_SNPP_NRT,1
41.4597,-81.6748,2026-07-31T06:43:00Z,1.12,N,n,N,VIIRS_SNPP_NRT,1
41.4588,-81.6794,2026-07-31T06:43:00Z,1.17,N,n,N,VIIRS_SNPP_NRT,1
